name,category,brand
Wireless Noise-Cancelling Headphones,Electronics,SoundMax
Running Shoes,Footwear,SwiftStep
Stainless Steel Water Bottle,Sports & Outdoors,HydroFlow
Mechanical Keyboard,Electronics,KeyCraft
Yoga Mat,Sports & Outdoors,ZenFit
Leather Wallet,Accessories,UrbanEdge
Bluetooth Speaker,Electronics,BassBoom
Coffee Grinder,Kitchen,BrewMaster
Sunglasses,Accessories,ClearView
Backpack,Bags,TrailPack
Smart Watch,Electronics,TimeTech
Protein Powder,Health & Fitness,NutriBoost
Desk Lamp,Home & Office,LumiDesk
Cooking Pan Set,Kitchen,ChefChoice
Resistance Bands Set,Sports & Outdoors,FlexBand

